station_name,latitude,longitude
伊宁,43.966745,81.275449
伊宁东,43.953424,81.499871
伊尔施,47.289938,119.8413836
伊尹,34.2725,115.7381944
伊川,34.41685889,112.4831589
伊拉哈,48.82001298,125.1595463
伊敏,48.648643,119.78154
伊敏索木,48.4618986,119.7143016
伊春,47.726952,128.91983
伊春西,47.722388,128.736731
伊林,44.5983,130.3462
伊通,43.36857,125.28054
伍佑,33.31743178,120.2217028
伍明,33.05444444,115.8525
伏牛溪,29.40005,106.467986
休宁,29.796325,118.17525
会同,26.88555556,109.7277778
会昌北,25.8301029,115.7808321
伯官,41.87860626,123.7106393
伯阳,34.55916667,106.0463889
低庄,28.051935,110.711037
低窝铺,40.1428,97.2404
何刘,30.530697,114.491648
何家所,28.4201528,115.9853697
何家湾,31.340181,121.493112
何寨,34.4970114,109.3201306
佗城,24.06972222,115.1761111
余下,34.07155,108.60789
余姚,30.056693,121.156815
余姚北,30.1008,121.164
余姚西,30.058335,121.104142
余家,28.163833,117.017118
余家湾,30.505382,114.297795
余干,28.77338949,116.644105
余江,28.21861111,116.8138889
余粮堡,43.43809,121.96326
佛图关,29.552,106.5277
佛坪,33.502106,107.980356
佛塱,23.36727,113.53366
佛山,23.051568,113.092372
佛山 西,23.0820313,113.028338
佛山东,23.07771045,113.1122243
佛山西,23.08138889,113.0286111
佛岭,45.6245203,130.5690737
佛肇,22.86904,112.56916
佳木斯,46.80194444,130.3752778
佳木斯西,46.771761,130.256722
依克布浪,40.0835631,106.8288278
依兰,46.276805,129.600359
依吞布拉克,38.3853837,90.1449895
依坑,23.27127,112.70143
依安,47.871797,125.278366
侯家坪,30.0765774,104.6452314
侯潭,29.808746,117.671478
侯马,35.61305556,111.3522222
侯马北,35.6464496,111.3695287
侯马西,35.601336,111.282321
保健,42.0894654,114.389685
保定,38.86166667,115.4744444
保定东,38.86333139,115.5958333
保定南,38.84392,115.45187
保家楼,29.4277319,108.3031941
保山,25.15367,99.17817
保平所,30.7025615,104.1361776
保康,44.125774,123.320324
保康县,31.745171,111.221365
保德,38.9588675,111.0749698
保田,25.38034,104.70061
俞冲,29.2205106,104.6969558
信丰,25.40083313,114.9022217
信丰西,25.35351,114.89541
信宜,22.329184,110.965472
信阳,32.13083306,114.0772222
信阳东,32.14589722,114.1551056
信阳北,32.19101787,114.0681118
信阳西,32.23091615,113.9279707
修文,37.606488,112.714002
修文县,26.854542,106.748362
修武,35.24354722,113.4325222
修武西,35.2114,113.4189
倒湖,29.686834,117.454228
倭肯,46.0025337,130.5227063
倮姑,23.19198,103.70435
偃师,34.7299,112.7884
偏岭镇,40.4755522,123.1486782
偏店,36.64589722,113.7477
儿童公园,29.5584863,106.2023342
元坝,32.319369,105.971685
元宝山,42.231945,119.236983
元氏,37.75888889,114.5384169
元江,23.70144694,102.0066131
元田坝,28.19388889,106.8361111
元谋,25.7383303,101.842105
元谋西,25.71138889,101.8391667
元龙,34.535764,106.175614
先锋,28.073212,112.991284
先锋营,26.3404486,101.7280018
光华门,32.017267,118.822998
光国村所,29.4694289,106.6579598
光山,31.97861111,114.9597222
光新路,31.260962,121.417305
光明,48.27785,124.62857
光明城,22.7357,113.9495
光泽,27.553493,117.346323
克一河,50.6502998,122.4868367
克东,48.15853,126.20441
克利,46.50451,123.44442
克山,48.013509,125.843893
克拉玛依,45.52724,84.89253
免渡河,49.091392,121.053071
兑镇,37.0898,111.60423
兖州,35.55638889,116.8361111
兖州北,35.59542199,116.831289
兖州西,35.49288056,116.7423083
党家庄,36.579304,116.898624
党武,26.4071551,106.6045816
全州,25.95833333,111.0388889
全州南,25.955847,111.036667
全椒,32.06182778,118.2780028
八仙筒,43.1996,121.05783
八公里,29.48106,106.56221
八大家,30.63666667,114.3722222
八家旺,26.52289427,109.6790073
八岭山所,30.435666,112.1187075
八斗,25.894392,109.559964
八斗岭,32.1555272,117.577529
八方,48.40715,124.77865
八方山,28.23333333,112.9286111
八步,26.8344889,105.7834967
八渡,24.70864722,105.7974278
八甲,21.95673,111.42815
八盘峡,36.137515,103.4127395
八苏木,40.952892,112.848467
八角台,41.2859,121.2443
八达岭,40.36,116.0016667
八达岭西所,40.3817985,115.9622397
八达岭长城,40.35794111,116.0047589
八都,27.44,115.2588889
八里,30.699739,104.108902
八里庄,37.480727,116.245821
八里店,34.70613,109.23361
八里湾,31.231121,118.393705
八里甸子,41.2350267,124.8875141
八面城,43.2068928,124.0552662
八面通,44.92453861,130.5345245
公主岭,43.50664,124.805659
公主岭南,43.4708,124.81
公兴,30.47694444,103.9669444
公平墟,26.20831389,112.8669806
公庙子,40.6235805,108.9593527
公积坂,40.558312,110.366985
公营子,41.355209,119.844303
六个鸡,26.5675,107.7866667
六公里,29.50055,106.56963
六合,32.367616,118.841154
六合镇,48.34869,124.69068
六地沟,43.42555556,117.7
六安,31.7175,116.495
六家子,43.968972,127.30812
六摆渡,32.182139,119.358681
六枝,26.2257629,105.4647609
六枝南,26.23049,105.434482
六盘山,35.70716,106.28841
六盘水,26.59404444,104.8500694
六盘水东,26.5239928,105.0315768
六盘水南,26.559372,104.857595
六道河子,40.394372,117.308999
兰岗,44.2652223,129.4043568
兰岭,45.2946309,130.6980472
兰州,36.03416667,103.8486111
兰州东,36.029516,103.888533
兰州北,36.14166667,103.6558333
兰州新区,36.46957,103.616338
兰州西,36.0675,103.7491667
兰店,39.76837,123.02143
兰棱,45.218837,126.183145
兰溪,29.215966,119.474921
兰溪东,29.2343262,119.4976194
兰考,34.8158,114.8139
兰考南,34.77194444,114.8183333
兰花坡所,26.5013695,106.500421
兰陵北,34.896791,118.006379
共和,29.303729,103.318211
共青城,29.2419,115.775
关口线路所,23.5346146,103.2022063
关寨,26.28552755,105.2224873
关山,34.709371,109.36954
关岭,25.9669,105.5233
关帝庙,34.79333333,113.4688889
关村坝,29.289366,103.021125
关林,34.63543333,112.5070167
关田,26.542,106.6967694
关碾房,40.30574,109.97143
关累,21.7379658,101.2955958
关西镇,24.84027778,114.9272222
关角,37.188009,98.934145
兴业,22.7408919,109.9025268
兴业南,22.716005,109.875532
兴义,25.166354,104.987382
兴义南,25.08361111,104.9544444
兴凯,45.702086,132.0671671
兴化,33.02011954,120.2988832
兴卫村,32.10638889,118.8497222
兴发村所,29.0845734,111.6445363
兴和,42.153813,114.604029
兴和北,40.891359,113.835781
兴和西,40.84749,113.806633
兴国,26.33305556,115.3133333
兴国西,26.315626,115.27448
兴城,40.622218,120.696928
兴城西,40.59044167,120.6099861
兴宁,24.1019,115.728
兴宁南,24.10553,115.78873
兴安,25.620119,110.662758
兴安北,25.67208333,110.6641667
兴安岭,48.8211,121.6594
兴寿,40.237639,116.423605
兴山,31.33461,110.75412
兴平,34.2898,108.4842
兴文,28.338113,105.244562
兴文南,28.162154,105.268743
兴泉堡,37.1145335,104.0050453
兴田,27.510153,118.05594
兴福,46.68972222,127.1141667
兴莲,46.87794,130.290408
兴隆县,40.43543,117.507509
兴隆县西,40.412876,117.475427
兴隆场,29.702338,106.382809
兴隆庄,34.781985,114.511834
兴隆店,41.9781084,123.0507559
兴隆镇,46.44184722,127.1139917
兵马营,40.593781,117.010413
养三,39.925148,116.139251
养马场,39.898818,116.168908
养马河,30.5083111,104.5036947
冀州,37.51050852,115.5714781
内乡,33.06972222,111.8607778
内江,29.5909,105.0339
内江东,29.56346,105.05456
内江北,29.60915,105.084866
内江南,29.541042,104.992321
内邱,37.295,114.5269444
内黄,35.673029,114.857715
内黄集,34.75888889,114.9625
